"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,02.01.2020,08:56:00,296,640,296,640,296,640,296,640,843
AAPL,NASDAQ,03.02.2020,14:23:00,307,480,307,540,307,400,307,420,33278
AAPL,NASDAQ,03.02.2020,14:24:00,307,379,307,525,307,280,307,521,47019
AAPL,NASDAQ,03.02.2020,14:25:00,307,550,307,680,307,290,307,400,42934
AAPL,NASDAQ,03.02.2020,14:26:00,307,410,307,575,307,280,307,575,22573
AAPL,NASDAQ,03.02.2020,14:27:00,307,590,307,780,307,480,307,530,98474
AAPL,NASDAQ,03.02.2020,14:28:00,307,540,307,540,307,360,307,450,37635
AAPL,NASDAQ,03.02.2020,14:29:00,307,490,307,560,307,280,307,320,32054
AAPL,NASDAQ,03.02.2020,14:30:00,307,317,307,440,307,202,307,349,42449
AAPL,NASDAQ,03.02.2020,14:31:00,307,345,307,560,307,250,307,473,35420
AAPL,NASDAQ,03.02.2020,14:32:00,307,490,307,720,307,489,307,637,51650
AAPL,NASDAQ,03.02.2020,14:33:00,307,625,307,625,307,340,307,340,56657
AAPL,NASDAQ,03.02.2020,14:34:00,307,332,307,332,307,140,307,150,41546
AAPL,NASDAQ,03.02.2020,14:35:00,307,145,307,232,307,000,307,040,33395
AAPL,NASDAQ,03.02.2020,14:36:00,307,030,307,170,307,000,307,100,29952
AAPL,NASDAQ,03.02.2020,14:37:00,307,100,307,250,307,060,307,230,41252
AAPL,NASDAQ,03.02.2020,14:38:00,307,215,307,365,307,215,307,320,25681
AAPL,NASDAQ,03.02.2020,14:39:00,307,335,307,450,307,290,307,373,28482
AAPL,NASDAQ,10.12.2020,11:39:00,123,591,123,640,123,540,123,560,96220
AAPL,NASDAQ,10.12.2020,11:40:00,123,550,123,600,123,480,123,490,165968
AAPL,NASDAQ,10.12.2020,11:41:00,123,490,123,540,123,360,123,365,188229
AAPL,NASDAQ,10.12.2020,11:42:00,123,365,123,445,123,360,123,390,141656
AAPL,NASDAQ,09.04.2021,15:48:00,132,530,132,580,132,500,132,550,181152
AAPL,NASDAQ,09.04.2021,15:49:00,132,550,132,660,132,550,132,610,293304
AAPL,NASDAQ,09.04.2021,15:50:00,132,615,132,740,132,600,132,720,227194
AAPL,NASDAQ,09.04.2021,15:51:00,132,730,132,790,132,627,132,740,515081
AAPL,NASDAQ,09.04.2021,15:52:00,132,735,132,765,132,700,132,731,301923
AAPL,NASDAQ,09.04.2021,15:53:00,132,730,132,790,132,700,132,770,399589
AAPL,NASDAQ,09.04.2021,15:54:00,132,760,132,920,132,760,132,800,742469
AAPL,NASDAQ,09.04.2021,15:55:00,132,800,133,040,132,800,132,949,991272
AAPL,NASDAQ,09.04.2021,15:56:00,132,943,133,000,132,930,132,975,619692
AAPL,NASDAQ,09.04.2021,15:57:00,132,975,132,990,132,860,132,885,585000
AAPL,NASDAQ,09.04.2021,15:58:00,132,887,132,990,132,880,132,965,565652
AAPL,NASDAQ,09.04.2021,15:59:00,132,960,132,990,132,950,132,960,639720
AAPL,NASDAQ,09.04.2021,16:00:00,132,970,133,000,132,880,132,990,1830372
AAPL,NASDAQ,09.04.2021,16:01:00,132,995,133,030,132,750,132,920,5970414
AAPL,NASDAQ,09.04.2021,16:02:00,132,930,132,995,132,920,132,950,86194
AAPL,NASDAQ,09.04.2021,16:03:00,132,955,132,995,130,975,132,830,1145839
AAPL,NASDAQ,09.04.2021,16:04:00,132,830,133,000,132,830,132,870,64933
AAPL,NASDAQ,09.04.2021,16:05:00,132,870,132,950,132,820,132,860,45440
AAPL,NASDAQ,09.04.2021,16:06:00,132,860,132,900,132,840,132,850,12792
AAPL,NASDAQ,09.04.2021,16:07:00,132,850,132,890,132,840,132,850,5161
AAPL,NASDAQ,09.04.2021,16:08:00,132,860,132,900,132,860,132,860,3853
AAPL,NASDAQ,09.04.2021,16:09:00,132,860,132,880,132,840,132,840,13710
AAPL,NASDAQ,09.04.2021,16:10:00,132,840,132,995,132,810,132,810,68917
AAPL,NASDAQ,09.04.2021,16:11:00,132,840,132,900,132,800,132,840,33520
AAPL,NASDAQ,09.04.2021,16:12:00,132,830,132,860,132,830,132,850,2939
AAPL,NASDAQ,09.04.2021,16:13:00,132,870,132,890,132,860,132,870,2728
AAPL,NASDAQ,09.04.2021,16:14:00,132,870,132,890,132,840,132,850,23817
